year,creek,segment,flower.count
1998,crow,C-I,458
1998,crow,C-II,37
1998,crow,C-III,235
1998,crow,C-IV,256
1998,crow,C-V,124
1998,crow,C-VI,598
1998,crow,C-VII,0
1998,diamond,D-II,1536
1998,diamond,D-III,2112
1998,diamond,D-IV,1415
1998,diamond,D-V,47
1998,unnamed,U-I,512
1998,unnamed,U-II,1860
1989,crow,C-I,1210
1989,crow,C-II,147
1989,crow,C-III,607
1989,crow,C-IV,190
1989,crow,C-V,81
1989,crow,C-VI,173
1989,crow,C-VII,0
1989,crow,C-VIII,0
1989,diamond,D-I,207
1989,diamond,D-II,461
1989,diamond,D-III,561
1989,diamond,D-IV,432
1989,diamond,D-V,23
1989,unnamed,U-I,84
1989,unnamed,U-II,650
1990,crow,C-I,897
1990,crow,C-II,59
1990,crow,C-III,572
1990,crow,C-IV,252
1990,crow,C-V,128
1990,crow,C-VI,122
1990,crow,C-VII,0
1990,crow,C-VIII,0
1990,diamond,D-I,377
1990,diamond,D-II,471
1990,diamond,D-III,965
1990,diamond,D-IV,355
1990,diamond,D-V,3
1990,unnamed,U-I,171
1990,unnamed,U-II,680
1991,crow,C-I,404
1991,crow,C-II,48
1991,crow,C-III,200
1991,crow,C-IV,54
1991,crow,C-V,10
1991,crow,C-VI,40
1991,crow,C-VII,0
1991,crow,C-VIII,0
1991,diamond,D-I,977
1991,diamond,D-II,405
1991,diamond,D-III,1016
1991,diamond,D-IV,275
1991,diamond,D-V,0
1991,unnamed,U-I,429
1991,unnamed,U-II,925
1992,crow,C-I,188
1992,crow,C-II,67
1992,crow,C-III,472
1992,crow,C-IV,145
1992,crow,C-V,58
1992,crow,C-VI,67
1992,crow,C-VII,0
1992,crow,C-VIII,0
1992,diamond,D-I,1554
1992,diamond,D-II,525
1992,diamond,D-III,1055
1992,diamond,D-IV,456
1992,diamond,D-V,37
1992,unnamed,U-I,727
1992,unnamed,U-II,942
1993,crow,C-I,130
1993,crow,C-II,82
1993,crow,C-III,450
1993,crow,C-IV,129
1993,crow,C-V,77
1993,crow,C-VI,67
1993,crow,C-VII,0
1993,crow,C-VIII,0
1993,diamond,D-I,1891
1993,diamond,D-II,1076
1993,diamond,D-III,1249
1993,diamond,D-IV,415
1993,diamond,D-V,19
1993,unnamed,U-I,556
1993,unnamed,U-II,947
1994,crow,C-I,637
1994,crow,C-II,92
1994,crow,C-III,906
1994,crow,C-IV,182
1994,crow,C-V,40
1994,crow,C-VI,160
1994,crow,C-VII,0
1994,crow,C-VIII,0
1994,diamond,D-I,1298
1994,diamond,D-II,746
1994,diamond,D-III,1023
1994,diamond,D-IV,786
1994,diamond,D-V,12
1994,unnamed,U-I,366
1994,unnamed,U-II,1027
1995,crow,C-I,1145
1995,crow,C-II,63
1995,crow,C-III,724
1995,crow,C-IV,263
1995,crow,C-V,41
1995,crow,C-VI,205
1995,crow,C-VII,0
1995,crow,C-VIII,0
1995,diamond,D-I,1499
1995,diamond,D-II,1267
1995,diamond,D-III,239
1995,diamond,D-IV,528
1995,diamond,D-V,11
1995,unnamed,U-I,855
1995,unnamed,U-II,967
1996,crow,C-I,507
1996,crow,C-II,26
1996,crow,C-III,139
1996,crow,C-IV,109
1996,crow,C-V,48
1996,crow,C-VI,138
1996,crow,C-VII,0
1996,crow,C-VIII,0
1996,diamond,D-I,1150
1996,diamond,D-II,627
1996,diamond,D-III,1072
1996,diamond,D-IV,962
1996,diamond,D-V,39
1996,unnamed,U-I,284
1996,unnamed,U-II,493
