site,plot,rosettes,flowering,ratio
FEWAFB,C4,67,14,4.785714286
FEWAFB,C5,68,11,6.181818182
FEWAFB,C8,40,3,13.33333333
FEWAFB,D10,57,27,2.111111111
FEWAFB,D11,27,16,1.6875
FEWAFB,D7,93,15,6.2
SOAPSTONE,S1,27,18,1.5
SOAPSTONE,S2,118,14,8.428571429
SOAPSTONE,S3,73,28,2.607142857
SOAPSTONE,S4,12,2,6
SOAPSTONE,S5,35,15,2.333333333
SOAPSTONE,S6,24,14,1.714285714
SOAPSTONE,S7,4,4,1
SOAPSTONE,S8,8,3,2.666666667
SOAPSTONE,S9,19,6,3.166666667
FEWAFB,U3,279,61,4.573770492
FEWAFB,U4,185,19,9.736842105
FEWAFB,U6,142,43,3.302325581
