STATION,DATE,MXSD,TPCP,TSNW,EMXT,EMNT,MNTM
GHCND:USW00024018,19150101,-9999,22,27,128,-228,-35
GHCND:USW00024018,19150201,-9999,246,249,156,-106,-4
GHCND:USW00024018,19150301,-9999,408,413,128,-150,-24
GHCND:USW00024018,19150401,-9999,836,0,211,-33,78
GHCND:USW00024018,19150501,-9999,563,208,261,-61,80
GHCND:USW00024018,19150601,-9999,340,0,256,-17,126
GHCND:USW00024018,19150701,-9999,435,0,317,6,168
GHCND:USW00024018,19150801,-9999,1012,0,300,56,161
GHCND:USW00024018,19150901,-9999,534,0,289,6,125
GHCND:USW00024018,19151001,-9999,282,25,239,-61,89
GHCND:USW00024018,19151101,-9999,50,48,194,-128,28
GHCND:USW00024018,19151201,-9999,106,145,144,-194,-18
GHCND:USW00024018,19160101,-9999,160,164,117,-283,-80
GHCND:USW00024018,19160201,-9999,77,97,178,-200,-1
GHCND:USW00024018,19160301,-9999,52,51,194,-161,37
GHCND:USW00024018,19160401,-9999,122,61,228,-111,45
GHCND:USW00024018,19160501,-9999,491,74,278,-83,92
GHCND:USW00024018,19160601,-9999,95,0,311,-11,147
GHCND:USW00024018,19160701,-9999,461,0,311,100,206
GHCND:USW00024018,19160801,-9999,323,0,300,50,177
GHCND:USW00024018,19160901,-9999,255,0,283,-33,132
GHCND:USW00024018,19161001,-9999,496,244,228,-111,61
GHCND:USW00024018,19161101,-9999,223,307,194,-294,-4
GHCND:USW00024018,19161201,-9999,87,133,100,-239,-61
GHCND:USW00024018,19170101,-9999,77,105,100,-244,-57
GHCND:USW00024018,19170201,-9999,204,320,122,-200,-26
GHCND:USW00024018,19170301,-9999,177,323,178,-178,-35
GHCND:USW00024018,19170401,-9999,446,391,189,-144,24
GHCND:USW00024018,19170501,-9999,1181,99,239,-106,61
GHCND:USW00024018,19170601,-9999,87,0,311,-11,145
GHCND:USW00024018,19170701,-9999,411,0,311,50,196
GHCND:USW00024018,19170801,-9999,446,0,311,44,164
GHCND:USW00024018,19170901,-9999,143,0,294,17,148
GHCND:USW00024018,19171001,-9999,99,147,239,-167,63
GHCND:USW00024018,19171101,-9999,103,100,189,-94,49
GHCND:USW00024018,19171201,-9999,206,308,150,-217,-9
GHCND:USW00024018,19180101,-9999,121,168,150,-267,-68
GHCND:USW00024018,19180201,-9999,227,299,189,-250,-13
GHCND:USW00024018,19180301,-9999,48,49,183,-122,49
