num.plants,stage,fate,plot,year.start
34,seed,small,1,1992
14,seed,medium,1,1992
3,seed,large1,1,1992
0,seed,large2,1,1992
0,small,dead,1,1992
0,small,small,1,1992
3,small,medium,1,1992
8,small,large1,1,1992
2,small,large2,1,1992
0,small,flower,1,1992
5,medium,dead,1,1992
0,medium,small,1,1992
4,medium,medium,1,1992
9,medium,large1,1,1992
4,medium,large2,1,1992
3,medium,flower,1,1992
16,large1,dead,1,1992
0,large1,small,1,1992
0,large1,medium,1,1992
10,large1,large1,1,1992
9,large1,large2,1,1992
14,large1,flower,1,1992
0,large2,dead,1,1992
0,large2,medium,1,1992
0,large2,large1,1,1992
0,large2,large2,1,1992
1,large2,flower,1,1992
9,flower,dead,1,1992
0,flower,large1,1,1992
0,flower,large2,1,1992
1,flower,flower,1,1992
95,seed,small,2,1992
44,seed,medium,2,1992
1,seed,large1,2,1992
0,seed,large2,2,1992
1,small,dead,2,1992
1,small,small,2,1992
3,small,medium,2,1992
3,small,large1,2,1992
1,small,large2,2,1992
0,small,flower,2,1992
8,medium,dead,2,1992
1,medium,small,2,1992
4,medium,medium,2,1992
7,medium,large1,2,1992
5,medium,large2,2,1992
0,medium,flower,2,1992
12,large1,dead,2,1992
0,large1,small,2,1992
8,large1,medium,2,1992
3,large1,large1,2,1992
12,large1,large2,2,1992
4,large1,flower,2,1992
1,large2,dead,2,1992
0,large2,medium,2,1992
1,large2,large1,2,1992
0,large2,large2,2,1992
0,large2,flower,2,1992
8,flower,dead,2,1992
0,flower,large1,2,1992
0,flower,large2,2,1992
0,flower,flower,2,1992
58,seed,small,3,1992
31,seed,medium,3,1992
2,seed,large1,3,1992
0,seed,large2,3,1992
0,small,dead,3,1992
0,small,small,3,1992
0,small,medium,3,1992
1,small,large1,3,1992
0,small,large2,3,1992
0,small,flower,3,1992
2,medium,dead,3,1992
0,medium,small,3,1992
4,medium,medium,3,1992
13,medium,large1,3,1992
1,medium,large2,3,1992
0,medium,flower,3,1992
6,large1,dead,3,1992
0,large1,small,3,1992
4,large1,medium,3,1992
7,large1,large1,3,1992
4,large1,large2,3,1992
4,large1,flower,3,1992
1,large2,dead,3,1992
0,large2,medium,3,1992
0,large2,large1,3,1992
0,large2,large2,3,1992
4,large2,flower,3,1992
7,flower,dead,3,1992
0,flower,large1,3,1992
0,flower,large2,3,1992
0,flower,flower,3,1992
72,seed,small,4,1992
27,seed,medium,4,1992
3,seed,large1,4,1992
0,seed,large2,4,1992
3,small,dead,4,1992
0,small,small,4,1992
8,small,medium,4,1992
4,small,large1,4,1992
0,small,large2,4,1992
0,small,flower,4,1992
48,medium,dead,4,1992
2,medium,small,4,1992
15,medium,medium,4,1992
8,medium,large1,4,1992
0,medium,large2,4,1992
0,medium,flower,4,1992
13,large1,dead,4,1992
