Creek,Subunit,Year,Count
unnamed,I,1989,84
unnamed,I,1990,171
unnamed,I,1991,429
unnamed,I,1992,727
unnamed,I,1993,556
unnamed,I,1994,366
unnamed,I,1995,855
unnamed,I,1996,284
unnamed,I,1997,655
unnamed,I,1008,512
unnamed,I,1999,1275
unnamed,I,2000,290
unnamed,I,2001,704
unnamed,I,2002,260
unnamed,I,2003,79
unnamed,I,2004,234
unnamed,I,2005,235
unnamed,I,2006,234
unnamed,I,2007,1
unnamed,I,2008,2
unnamed,I,2009,20
unnamed,I,2010,339
unnamed,I,2011,1620
unnamed,I,2012,626
unnamed,I,2013,132
unnamed,II,1989,650
unnamed,II,1990,680
unnamed,II,1991,925
unnamed,II,1992,942
unnamed,II,1993,947
unnamed,II,1994,1027
unnamed,II,1995,967
unnamed,II,1996,493
unnamed,II,1997,1165
unnamed,II,1008,1860
unnamed,II,1999,2346
unnamed,II,2000,1348
unnamed,II,2001,1097
unnamed,II,2002,1076
unnamed,II,2003,4438
unnamed,II,2004,3291
unnamed,II,2005,1397
unnamed,II,2006,2456
unnamed,II,2007,699
unnamed,II,2008,379
unnamed,II,2009,1460
unnamed,II,2010,2070
unnamed,II,2011,4183
unnamed,II,2012,674
unnamed,II,2013,1932
diamond,I,1989,207
diamond,I,1990,377
diamond,I,1991,977
diamond,I,1992,1554
diamond,I,1993,1891
diamond,I,1994,1298
diamond,I,1995,1499
diamond,I,1996,1150
diamond,I,1997,1236
diamond,I,1008,1699
diamond,I,1999,2011
diamond,I,2000,1041
diamond,I,2001,493
diamond,I,2002,456
diamond,I,2003,858
diamond,I,2004,1322
diamond,I,2005,1882
diamond,I,2006,1411
diamond,I,2007,40
diamond,I,2008,179
diamond,I,2009,1032
diamond,I,2010,334
diamond,I,2011,1551
diamond,I,2012,3062
diamond,I,2013,1091
diamond,II,1989,461
diamond,II,1990,471
diamond,II,1991,405
diamond,II,1992,525
diamond,II,1993,1076
diamond,II,1994,746
diamond,II,1995,1267
diamond,II,1996,627
diamond,II,1997,1070
diamond,II,1008,1536
diamond,II,1999,969
diamond,II,2000,767
diamond,II,2001,918
diamond,II,2002,788
diamond,II,2003,551
diamond,II,2004,853
diamond,II,2005,953
diamond,II,2006,643
diamond,II,2007,14
diamond,II,2008,61
diamond,II,2009,232
diamond,II,2010,105
diamond,II,2011,896
diamond,II,2012,1064
diamond,II,2013,817
diamond,III,1989,561
diamond,III,1990,965
diamond,III,1991,1016
diamond,III,1992,1055
diamond,III,1993,1249
diamond,III,1994,1023
diamond,III,1995,2359
diamond,III,1996,1072
diamond,III,1997,2346
diamond,III,1008,2112
diamond,III,1999,2092
diamond,III,2000,2145
diamond,III,2001,2422
diamond,III,2002,1606
diamond,III,2003,601
diamond,III,2004,976
diamond,III,2005,2828
diamond,III,2006,875
diamond,III,2007,1417
diamond,III,2008,941
diamond,III,2009,1115
diamond,III,2010,327
diamond,III,2011,2225
diamond,III,2012,923
diamond,III,2013,667
diamond,IV,1989,432
diamond,IV,1990,355
diamond,IV,1991,275
diamond,IV,1992,456
diamond,IV,1993,415
diamond,IV,1994,786
diamond,IV,1995,528
diamond,IV,1996,962
diamond,IV,1997,1246
diamond,IV,1008,1415
diamond,IV,1999,1479
diamond,IV,2000,930
diamond,IV,2001,943
diamond,IV,2002,699
diamond,IV,2003,128
diamond,IV,2004,242
diamond,IV,2005,389
diamond,IV,2006,183
diamond,IV,2007,21
diamond,IV,2008,173
diamond,IV,2009,271
diamond,IV,2010,187
diamond,IV,2011,1039
diamond,IV,2012,814
diamond,IV,2013,407
diamond,V,1989,23
diamond,V,1990,3
diamond,V,1991,NA
diamond,V,1992,37
diamond,V,1993,19
diamond,V,1994,12
diamond,V,1995,11
diamond,V,1996,39
diamond,V,1997,28
diamond,V,1008,47
diamond,V,1999,20
diamond,V,2000,7
diamond,V,2001,12
diamond,V,2002,33
diamond,V,2003,11
diamond,V,2004,23
diamond,V,2005,22
diamond,V,2006,4
diamond,V,2007,0
diamond,V,2008,6
diamond,V,2009,24
diamond,V,2010,16
diamond,V,2011,11
diamond,V,2012,0
diamond,V,2013,4
crow,I,1989,1210
crow,I,1990,897
crow,I,1991,404
crow,I,1992,188
crow,I,1993,130
crow,I,1994,637
crow,I,1995,1145
crow,I,1996,507
crow,I,1997,589
crow,I,1008,458
crow,I,1999,275
crow,I,2000,467
crow,I,2001,271
crow,I,2002,197
crow,I,2003,10
crow,I,2004,84
crow,I,2005,54
crow,I,2006,58
