Creek,Subunit,Veg04,Flow04
Crow,I,15,15
Crow,I,1,1
Crow,I,1,1
Crow,I,3,1
Crow,I,5,3
Crow,I,3,1
Crow,I,3,1
Crow,I,3,1
Crow,I,4,1
Crow,I,0,1
Crow,I,21,2
Crow,I,15,1
Crow,I,25,3
Crow,I,6,1
Crow,I,1,1
Crow,I,0,1
Crow,I,1,2
Crow,I,21,1
Crow,I,1,3
Crow,I,4,1
Crow,II,1,2
Crow,II,5,1
Crow,II,7,2
Crow,II,4,1
Crow,II,4,1
Crow,III,5,2
Crow,III,20,4
Crow,III,24,1
Crow,III,4,1
Crow,III,9,1
Crow,III,24,2
Crow,III,7,1
Crow,III,4,2
Crow,III,2,1
Crow,III,4,1
Crow,III,5,2
Crow,III,71,12
Crow,III,0,1
Crow,III,0,1
Crow,IV,10,1
Crow,IV,5,1
Crow,IV,14,1
Crow,IV,4,1
Crow,IV,17,1
Crow,IV,7,1
Crow,IV,10,2
Crow,IV,42,5
Crow,IV,5,1
Crow,IV,17,1
Crow,IV,14,1
Crow,IV,5,4
Crow,IV,1,1
Crow,IV,15,6
Crow,IV,1,1
Crow,IV,67,3
Crow,IV,39,1
Crow,IV,7,3
Crow,IV,1,1
Crow,V,3,2
Crow,V,33,3
Crow,V,0,1
Crow,V,4,1
Crow,V,16,1
Crow,VI,8,6
Crow,VI,30,4
Crow,VI,10,3
Crow,VI,73,4
Crow,VI,21,2
Crow,VI,33,7
Crow,VI,38,5
Crow,VI,36,7
Crow,VI,24,4
Crow,VI,8,2
Crow,VI,2,2
Crow,VI,17,2
Crow,VI,0,1
Crow,VI,7,1
Crow,VI,4,2
Crow,VI,0,1
Crow,VI,9,3
Crow,VI,9,3
Crow,VI,0,1
Diamond,I,0,1
Diamond,I,34,10
Diamond,I,4,2
Diamond,I,43,8
Diamond,I,32,5
Diamond,I,1,3
Diamond,I,5,1
Diamond,I,4,1
Diamond,I,1,1
Diamond,I,1,3
Diamond,I,3,2
Diamond,I,11,4
Diamond,I,14,6
Diamond,I,127,15
Diamond,I,121,21
Diamond,I,1,1
Diamond,I,6,3
Diamond,I,8,3
Diamond,I,15,4
Diamond,I,3,1
Diamond,I,1,1
Diamond,I,6,2
Diamond,I,15,4
Diamond,I,41,4
Diamond,I,4,1
