"","segment","first.count","second.count","year","creek","flower.count"
"1","C-I",127,150,2014,"crow",156
"2","C-II",29,21,2014,"crow",36
"3","C-III",91,100,2014,"crow",100
"4","C-IV",33,22,2014,"crow",33
"5","C-V",1,1,2014,"crow",1
"6","C-VI",137,140,2014,"crow",148
"7","C-VII",16,18,2014,"crow",17
"8","D-I",2034,2280,2014,"diamond",2268
"9","D-II",1722,1540,2014,"diamond",1497
"10","D-III",1615,1612,2014,"diamond",1627
"11","D-IV",561,520,2014,"diamond",585
"12","D-V",21,17,2014,"diamond",21
"13","U-I",368,362,2014,"unnamed",275
"14","U-II",3426,3379,2014,"unnamed",3388
